Datetime,Concentration
2021-07-10,9.5
2021-07-11,4.708333333333333
2021-07-12,4.25
2021-07-13,5.0
2021-07-14,6.083333333333333
2021-07-15,10.0
2021-07-16,6.625
2021-07-17,6.875
2021-07-18,12.375
2021-07-19,30.208333333333332
2021-07-20,26.333333333333332
2021-07-21,5.083333333333333
2021-07-22,6.916666666666667
2021-07-23,7.125
2021-07-24,10.916666666666666
2021-07-25,27.375
2021-07-26,23.166666666666668
2021-07-27,10.791666666666666
2021-07-28,9.708333333333334
2021-07-29,7.916666666666667
2021-07-30,5.458333333333333
2021-07-31,3.7916666666666665
2021-08-01,4.541666666666667
2021-08-02,4.791666666666667
2021-08-03,9.75
2021-08-04,11.625
2021-08-05,12.291666666666666
2021-08-06,14.083333333333334
2021-08-07,14.166666666666666
2021-08-08,14.625
2021-08-09,14.541666666666666
2021-08-10,8.875
2021-08-11,7.666666666666667
2021-08-12,7.833333333333333
2021-08-13,9.625
2021-08-14,6.541666666666667
2021-08-15,3.8333333333333335
2021-08-16,3.375
2021-08-17,6.25
2021-08-18,8.25
2021-08-19,5.916666666666667
2021-08-20,9.833333333333334
2021-08-21,11.625
2021-08-22,11.583333333333334
2021-08-23,8.708333333333334
2021-08-24,8.208333333333334
2021-08-25,10.208333333333334
2021-08-26,9.375
2021-08-27,6.583333333333333
2021-08-28,5.041666666666667
2021-08-29,8.458333333333334
2021-08-30,5.958333333333333
2021-08-31,4.833333333333333
2021-09-01,4.625
2021-09-02,3.3333333333333335
2021-09-03,2.2083333333333335
2021-09-04,4.458333333333333
2021-09-05,6.25
2021-09-06,3.375
2021-09-07,5.083333333333333
2021-09-08,5.333333333333333
2021-09-09,3.875
2021-09-10,4.208333333333333
2021-09-11,4.666666666666667
2021-09-12,5.625
2021-09-13,4.935483870967742
2021-09-14,
2021-09-15,4.875
2021-09-16,5.0
2021-09-17,6.291666666666667
2021-09-18,7.75
2021-09-19,4.25
2021-09-20,
2021-09-21,
2021-09-22,
2021-09-23,
2021-09-24,
2021-09-25,4.708333333333333
2021-09-26,3.75
2021-09-27,8.541666666666666
2021-09-28,2.0416666666666665
2021-09-29,3.0833333333333335
2021-09-30,1.8333333333333333
2021-10-01,8.333333333333334
2021-10-02,10.333333333333334
2021-10-03,18.5
2021-10-04,3.6666666666666665
2021-10-05,5.458333333333333
2021-10-06,5.166666666666667
2021-10-07,5.375
2021-10-08,4.916666666666667
2021-10-09,5.041666666666667
2021-10-10,5.625
2021-10-11,3.5
2021-10-12,4.75
2021-10-13,7.375
2021-10-14,7.958333333333333
2021-10-15,4.583333333333333
2021-10-16,1.625
2021-10-17,1.1666666666666667
2021-10-18,2.9583333333333335
2021-10-19,6.25
2021-10-20,13.708333333333334
2021-10-21,13.916666666666666
2021-10-22,2.5833333333333335
2021-10-23,5.291666666666667
2021-10-24,10.125
2021-10-25,4.625
2021-10-26,2.5833333333333335
2021-10-27,6.166666666666667
2021-10-28,5.375
2021-10-29,6.75
2021-10-30,2.4166666666666665
2021-10-31,3.1666666666666665
2021-11-01,2.0833333333333335
2021-11-02,3.6666666666666665
2021-11-03,3.2083333333333335
2021-11-04,8.083333333333334
2021-11-05,9.041666666666666
2021-11-06,11.916666666666666
2021-11-07,20.5
2021-11-08,19.583333333333332
2021-11-09,14.041666666666666
2021-11-10,5.875
2021-11-11,5.333333333333333
2021-11-12,7.708333333333333
2021-11-13,3.2916666666666665
2021-11-14,3.75
2021-11-15,4.125
2021-11-16,3.9583333333333335
2021-11-17,6.833333333333333
2021-11-18,8.541666666666666
2021-11-19,3.4166666666666665
2021-11-20,6.75
2021-11-21,11.5
2021-11-22,2.9166666666666665
2021-11-23,3.4166666666666665
2021-11-24,9.0
2021-11-25,10.958333333333334
2021-11-26,2.5
2021-11-27,3.25
2021-11-28,6.666666666666667
2021-11-29,7.375
2021-11-30,11.166666666666666
2021-12-01,6.041666666666667
2021-12-02,9.875
2021-12-03,2.5416666666666665
2021-12-04,4.333333333333333
2021-12-05,4.416666666666667
2021-12-06,5.625
2021-12-07,2.3333333333333335
2021-12-08,8.625
2021-12-09,7.0
2021-12-10,19.041666666666668
2021-12-11,10.25
2021-12-12,3.0416666666666665
2021-12-13,6.375
2021-12-14,6.041666666666667
2021-12-15,4.083333333333333
2021-12-16,8.458333333333334
2021-12-17,2.5416666666666665
2021-12-18,3.4583333333333335
2021-12-19,3.2916666666666665
2021-12-20,8.291666666666666
2021-12-21,6.958333333333333
2021-12-22,2.4583333333333335
2021-12-23,2.6666666666666665
2021-12-24,13.25
2021-12-25,8.083333333333334
2021-12-26,2.375
2021-12-27,2.9166666666666665
2021-12-28,8.041666666666666
2021-12-29,13.125
2021-12-30,6.916666666666667
2021-12-31,14.166666666666666
2022-01-01,7.333333333333333
2022-01-02,0.041666666666666664
2022-01-03,1.8333333333333333
2022-01-04,14.291666666666666
2022-01-05,9.541666666666666
2022-01-06,10.916666666666666
2022-01-07,2.8333333333333335
2022-01-08,3.7916666666666665
2022-01-09,6.166666666666667
2022-01-10,2.9583333333333335
2022-01-11,7.208333333333333
2022-01-12,11.625
2022-01-13,9.625
2022-01-14,1.5833333333333333
2022-01-15,5.625
2022-01-16,4.916666666666667
2022-01-17,3.1666666666666665
