Toronto North, (34021) Hourly, Fine particulate matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Toronto North (34021),,,,,,,,,,,,,,,,,,,,,,,,,
Address,4905 Dufferin St., Eccc,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.78047,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.467372,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 186 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,4 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34021,Fine Particulate Matter,4/2/2021,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,4,3,3,4,4,4,4,3,4
34021,Fine Particulate Matter,4/3/2021,4,5,3,4,5,5,6,5,6,9,10,11,11,10,8,8,13,16,16,18,13,11,11,11
34021,Fine Particulate Matter,4/4/2021,12,14,16,16,16,18,18,14,14,16,13,14,14,12,10,8,8,8,8,9,10,10,10,9
34021,Fine Particulate Matter,4/5/2021,8,7,6,5,5,5,6,6,6,7,8,9,12,12,13,12,10,10,13,16,18,22,21,21
34021,Fine Particulate Matter,4/6/2021,23,18,10,7,6,6,6,4,4,5,5,6,6,6,7,7,7,7,7,7,6,5,5,5
34021,Fine Particulate Matter,4/7/2021,4,3,3,3,2,3,3,4,3,3,5,5,5,6,6,5,5,6,7,7,7,6,5,5
34021,Fine Particulate Matter,4/8/2021,4,4,3,3,4,3,2,3,3,5,6,6,6,9,12,13,16,14,11,9,8,8,8,8
34021,Fine Particulate Matter,4/9/2021,8,9,8,8,9,8,5,4,5,6,6,7,7,6,5,5,7,8,9,8,7,8,7,6
34021,Fine Particulate Matter,4/10/2021,6,6,6,6,6,7,7,3,5,9,9,9,8,8,11,10,13,13,9,7,7,8,9,8
34021,Fine Particulate Matter,4/11/2021,8,8,7,7,7,7,8,8,7,5,4,5,4,4,3,4,5,5,6,4,3,4,4,5
34021,Fine Particulate Matter,4/12/2021,4,3,2,2,3,3,2,2,2,-999,-999,2,2,2,2,3,4,4,4,4,4,4,4,4
34021,Fine Particulate Matter,4/13/2021,3,4,5,6,7,8,7,5,6,7,10,12,16,14,12,15,14,13,14,14,15,16,17,16
34021,Fine Particulate Matter,4/14/2021,12,16,14,13,13,16,12,13,13,15,10,5,6,5,5,4,4,4,5,5,5,4,4,6
34021,Fine Particulate Matter,4/15/2021,6,6,5,4,4,5,5,6,5,5,5,6,5,5,5,5,5,5,5,5,6,4,4,4
34021,Fine Particulate Matter,4/16/2021,6,5,5,5,4,4,2,3,3,3,4,4,4,3,4,4,6,5,3,1,1,2,2,2
34021,Fine Particulate Matter,4/17/2021,3,2,2,3,4,3,2,2,3,3,3,3,3,6,7,5,5,3,4,4,5,4,3,2
34021,Fine Particulate Matter,4/18/2021,3,4,4,3,3,4,4,5,4,5,6,9,13,13,9,8,10,13,14,15,10,8,8,6
34021,Fine Particulate Matter,4/19/2021,10,11,10,11,9,9,8,8,9,11,14,13,10,8,8,8,9,11,12,7,7,4,5,4
34021,Fine Particulate Matter,4/20/2021,4,4,4,4,3,3,3,3,4,5,5,6,6,6,6,5,6,6,6,6,6,5,5,5
34021,Fine Particulate Matter,4/21/2021,6,6,5,5,5,6,7,7,5,4,4,4,4,3,3,3,5,6,5,4,4,4,4,4
34021,Fine Particulate Matter,4/22/2021,4,4,4,4,4,4,4,3,4,5,5,4,4,4,5,4,4,5,5,5,5,5,6,6
34021,Fine Particulate Matter,4/23/2021,8,10,9,10,9,8,7,6,6,7,9,10,11,10,9,7,7,7,8,9,10,11,12,12
34021,Fine Particulate Matter,4/24/2021,17,17,16,15,14,14,14,14,26,29,25,33,29,25,22,20,19,17,16,15,14,15,15,16
34021,Fine Particulate Matter,4/25/2021,18,17,17,17,16,13,9,9,6,6,5,3,2,2,2,2,3,3,2,2,1,1,1,2
34021,Fine Particulate Matter,4/26/2021,3,3,4,4,3,3,3,3,3,4,9999,2,2,2,3,5,6,7,6,8,7,6,6,6
34021,Fine Particulate Matter,4/27/2021,8,9,5,5,5,5,4,4,3,3,4,6,8,10,9,10,11,11,10,9,7,6,8,2
34021,Fine Particulate Matter,4/28/2021,2,2,2,2,2,3,2,2,2,3,3,3,3,4,4,6,8,7,8,10,10,17,22,14
34021,Fine Particulate Matter,4/29/2021,12,8,7,4,4,4,5,10,11,14,13,8,4,3,3,3,2,2,3,3,3,4,4,4
34021,Fine Particulate Matter,4/30/2021,4,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,4,4,5
34021,Fine Particulate Matter,5/1/2021,5,6,6,4,4,4,3,4,4,5,6,11,11,9,11,9,8,9,10,10,9,8,8,7
34021,Fine Particulate Matter,5/2/2021,7,7,5,6,5,3,2,2,2,2,2,2,3,4,6,5,4,4,5,4,2,2,3,4
34021,Fine Particulate Matter,5/3/2021,4,3,2,2,1,2,2,2,3,4,5,5,4,4,3,2,4,3,3,3,2,3,3,3
34021,Fine Particulate Matter,5/4/2021,2,2,2,2,3,5,5,6,6,6,4,3,2,2,2,5,8,12,14,12,12,12,2,2
34021,Fine Particulate Matter,5/5/2021,2,1,1,1,2,2,2,2,2,3,3,2,3,3,3,4,5,5,4,6,5,3,3,3
34021,Fine Particulate Matter,5/6/2021,3,3,3,4,4,7,5,6,10,9,9,11,10,8,10,8,6,7,6,5,5,4,3,3
34021,Fine Particulate Matter,5/7/2021,3,2,2,2,2,2,2,2,3,5,5,5,10,9,9,8,7,7,6,6,6,7,9,8
34021,Fine Particulate Matter,5/8/2021,8,10,14,13,4,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,3,3,2
34021,Fine Particulate Matter,5/9/2021,2,2,2,2,3,3,2,1,1,1,1,3,6,8,6,5,6,4,3,6,13,6,2,2
34021,Fine Particulate Matter,5/10/2021,1,1,2,2,2,3,6,3,2,3,5,5,5,5,4,4,4,5,4,4,3,3,3,3
34021,Fine Particulate Matter,5/11/2021,4,4,2,3,2,3,3,2,2,1,2,2,3,4,5,4,4,4,4,3,3,3,4,4
34021,Fine Particulate Matter,5/12/2021,3,3,3,4,3,5,3,2,2,2,3,4,5,6,6,5,7,8,7,7,7,7,7,4
34021,Fine Particulate Matter,5/13/2021,5,4,2,2,2,3,3,2,2,2,4,4,5,5,5,7,8,9,9,6,7,5,5,5
34021,Fine Particulate Matter,5/14/2021,7,7,6,6,5,5,6,5,4,5,6,6,8,9,9,9,9,9,8,10,13,9,8,9
34021,Fine Particulate Matter,5/15/2021,9,8,11,11,11,6,6,6,4,6,8,13,15,10,9,9,9,11,8,11,16,48,53,32
34021,Fine Particulate Matter,5/16/2021,19,26,22,22,22,23,22,13,7,7,7,7,8,7,7,7,9,8,8,8,10,10,10,11
34021,Fine Particulate Matter,5/17/2021,12,10,10,10,9,10,8,10,15,21,18,17,18,11,10,10,8,8,9,10,13,11,10,10
34021,Fine Particulate Matter,5/18/2021,11,14,13,12,13,13,13,11,10,9,8,11,12,12,11,11,12,12,9,10,10,9,9,9
34021,Fine Particulate Matter,5/19/2021,10,11,13,11,11,10,9,15,13,12,13,11,10,9,8,8,8,8,8,9,10,10,9,8
34021,Fine Particulate Matter,5/20/2021,7,8,9,10,11,10,10,10,11,11,13,13,13,12,11,12,11,11,12,13,15,16,16,15
34021,Fine Particulate Matter,5/21/2021,14,14,14,14,15,15,17,18,16,15,15,21,12,11,12,10,10,9,9,10,9,10,10,11
34021,Fine Particulate Matter,5/22/2021,11,11,10,11,10,10,10,9,8,7,8,8,6,6,5,5,7,8,8,8,8,9,10,10
34021,Fine Particulate Matter,5/23/2021,8,8,8,9,8,7,7,7,6,7,8,9,7,5,4,4,3,2,2,2,4,12,12,4
34021,Fine Particulate Matter,5/24/2021,6,7,6,5,4,4,5,4,4,4,5,6,7,7,7,6,13,12,9,8,26,18,25,24
